"","Country","Code","Date","DeathsTotal","NewDeaths"
"6458","North America",NA,2020-02-14,0,NA
"6459","North America",NA,2020-02-15,0,NA
"6460","North America",NA,2020-02-16,0,NA
"6461","North America",NA,2020-02-17,0,NA
"6462","North America",NA,2020-02-18,0,NA
"6463","North America",NA,2020-02-19,0,NA
"6464","North America",NA,2020-02-20,0,NA
"6465","North America",NA,2020-02-21,0,NA
"6466","North America",NA,2020-02-22,0,NA
"6467","North America",NA,2020-02-23,0,NA
"6468","North America",NA,2020-02-24,0,NA
"6469","North America",NA,2020-02-25,0,NA
"6470","North America",NA,2020-02-26,0,NA
"6471","North America",NA,2020-02-27,0,NA
"6472","North America",NA,2020-02-28,0,NA
"6473","North America",NA,2020-02-29,0,NA
"6474","North America",NA,2020-03-01,1,NA
"6475","North America",NA,2020-03-02,2,NA
"6476","North America",NA,2020-03-03,6,NA
"6477","North America",NA,2020-03-04,9,NA
"6478","North America",NA,2020-03-05,11,NA
"6479","North America",NA,2020-03-06,12,NA
